01-07 11:16:57.707 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:99, height:99, area:2 
01-07 11:16:58.277 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:96, height:96, area:2 
01-07 11:16:59.087 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:102, height:102, area:2 
01-07 11:16:59.327 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:102, height:102, area:2 
01-07 11:17:00.267 D/roobosmart( 5773):  head[1-0] x:802, y:284, width:97, height:97, area:2 
01-07 11:17:00.887 D/roobosmart( 5773):  head[1-0] x:797, y:282, width:103, height:103, area:2 
01-07 11:17:01.777 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:103, height:103, area:2 
01-07 11:17:02.337 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:98, height:98, area:2 
01-07 11:17:03.267 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:97, height:97, area:2 
01-07 11:17:03.857 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:97, height:97, area:2 
01-07 11:17:04.357 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:96, height:96, area:2 
01-07 11:17:05.277 D/roobosmart( 5773):  head[1-0] x:800, y:286, width:96, height:96, area:2 
01-07 11:17:05.787 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:97, height:97, area:2 
01-07 11:17:06.397 D/roobosmart( 5773):  head[1-0] x:799, y:285, width:98, height:98, area:2 
01-07 11:17:06.997 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:100, height:100, area:2 
01-07 11:17:07.777 D/roobosmart( 5773):  head[1-0] x:798, y:282, width:101, height:101, area:2 
01-07 11:17:08.437 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:103, height:103, area:2 
01-07 11:17:09.317 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:103, height:103, area:2 
01-07 11:17:09.837 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:100, height:100, area:2 
01-07 11:17:10.457 D/roobosmart( 5773):  head[1-0] x:800, y:284, width:98, height:98, area:2 
01-07 11:17:11.077 D/roobosmart( 5773):  head[1-0] x:801, y:284, width:99, height:99, area:2 
01-07 11:17:11.577 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:102, height:102, area:2 
01-07 11:17:12.497 D/roobosmart( 5773):  head[1-0] x:802, y:285, width:94, height:94, area:2 
01-07 11:17:13.097 D/roobosmart( 5773):  head[1-0] x:799, y:285, width:99, height:99, area:2 
01-07 11:17:13.597 D/roobosmart( 5773):  head[1-0] x:802, y:284, width:95, height:95, area:2 
01-07 11:17:14.457 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:100, height:100, area:2 
01-07 11:17:15.107 D/roobosmart( 5773):  head[1-0] x:795, y:282, width:106, height:106, area:2 
01-07 11:17:15.657 D/roobosmart( 5773):  head[1-0] x:803, y:287, width:93, height:93, area:2 
01-07 11:17:16.537 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:96, height:96, area:2 
01-07 11:17:17.157 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:104, height:104, area:2 
01-07 11:17:17.697 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:101, height:101, area:2 
01-07 11:17:18.607 D/roobosmart( 5773):  head[1-0] x:798, y:285, width:101, height:101, area:2 
01-07 11:17:19.197 D/roobosmart( 5773):  head[1-0] x:796, y:282, width:106, height:106, area:2 
01-07 11:17:19.697 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:98, height:98, area:2 
01-07 11:17:20.577 D/roobosmart( 5773):  head[1-0] x:799, y:284, width:100, height:100, area:2 
01-07 11:17:21.757 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:101, height:101, area:2 
01-07 11:17:23.297 D/roobosmart( 5773):  head[1-0] x:799, y:284, width:100, height:100, area:2 
01-07 11:17:23.827 D/roobosmart( 5773):  head[1-0] x:803, y:285, width:95, height:95, area:2 
01-07 11:17:24.727 D/roobosmart( 5773):  head[1-0] x:800, y:284, width:99, height:99, area:2 
01-07 11:17:25.297 D/roobosmart( 5773):  head[1-0] x:796, y:283, width:106, height:106, area:2 
01-07 11:17:25.867 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:96, height:96, area:2 
01-07 11:17:26.737 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:99, height:99, area:2 
01-07 11:17:27.357 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:101, height:101, area:2 
01-07 11:17:27.897 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:102, height:102, area:2 
01-07 11:17:28.787 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:95, height:95, area:2 
01-07 11:17:29.367 D/roobosmart( 5773):  head[1-0] x:800, y:287, width:97, height:97, area:2 
01-07 11:17:29.947 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:104, height:104, area:2 
01-07 11:17:31.907 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:103, height:103, area:2 
01-07 11:17:32.817 D/roobosmart( 5773):  head[1-0] x:800, y:283, width:99, height:99, area:2 
01-07 11:17:33.327 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:97, height:97, area:2 
01-07 11:17:33.917 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:101, height:101, area:2 
01-07 11:17:34.477 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:102, height:102, area:2 
01-07 11:17:35.007 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:101, height:101, area:2 
01-07 11:17:35.877 D/roobosmart( 5773):  head[1-0] x:796, y:282, width:105, height:105, area:2 
01-07 11:17:36.997 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:102, height:102, area:2 
01-07 11:17:37.877 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:100, height:100, area:2 
01-07 11:17:38.127 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:100, height:100, area:2 
01-07 11:17:39.017 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:101, height:101, area:2 
01-07 11:17:39.577 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:103, height:103, area:2 
01-07 11:17:40.127 D/roobosmart( 5773):  head[1-0] x:799, y:287, width:98, height:98, area:2 
01-07 11:17:41.027 D/roobosmart( 5773):  head[1-0] x:800, y:287, width:99, height:99, area:2 
01-07 11:17:41.627 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:106, height:106, area:2 
01-07 11:17:42.157 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:99, height:99, area:2 
01-07 11:17:43.017 D/roobosmart( 5773):  head[1-0] x:801, y:286, width:96, height:96, area:2 
01-07 11:17:43.657 D/roobosmart( 5773):  head[1-0] x:796, y:283, width:105, height:105, area:2 
01-07 11:17:44.197 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:105, height:105, area:2 
01-07 11:17:45.077 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:98, height:98, area:2 
01-07 11:17:45.687 D/roobosmart( 5773):  head[1-0] x:803, y:288, width:91, height:91, area:2 
01-07 11:17:46.187 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:103, height:103, area:2 
01-07 11:17:46.777 D/roobosmart( 5773):  head[1-0] x:800, y:287, width:97, height:97, area:2 
01-07 11:17:48.877 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:103, height:103, area:2 
01-07 11:17:49.397 D/roobosmart( 5773):  head[1-0] x:800, y:285, width:96, height:96, area:2 
01-07 11:17:50.717 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:102, height:102, area:2 
01-07 11:17:51.327 D/roobosmart( 5773):  head[1-0] x:800, y:286, width:97, height:97, area:2 
01-07 11:17:52.787 D/roobosmart( 5773):  head[1-0] x:799, y:285, width:101, height:101, area:2 
01-07 11:17:53.437 D/roobosmart( 5773):  head[1-0] x:795, y:282, width:108, height:108, area:2 
01-07 11:17:54.347 D/roobosmart( 5773):  head[1-0] x:803, y:287, width:92, height:92, area:2 
01-07 11:17:54.977 D/roobosmart( 5773):  head[1-0] x:800, y:286, width:99, height:99, area:2 
01-07 11:17:55.817 D/roobosmart( 5773):  head[1-0] x:795, y:282, width:109, height:109, area:2 
01-07 11:17:56.407 D/roobosmart( 5773):  head[1-0] x:794, y:281, width:110, height:110, area:2 
01-07 11:17:57.507 D/roobosmart( 5773):  head[1-0] x:798, y:286, width:102, height:102, area:2 
01-07 11:17:58.387 D/roobosmart( 5773):  head[1-0] x:796, y:282, width:105, height:105, area:2 
01-07 11:17:58.917 D/roobosmart( 5773):  head[1-0] x:799, y:286, width:101, height:101, area:2 
01-07 11:17:59.507 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:104, height:104, area:2 
01-07 11:18:00.627 D/roobosmart( 5773):  head[1-0] x:802, y:286, width:96, height:96, area:2 
01-07 11:18:01.547 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:99, height:99, area:2 
01-07 11:18:02.127 D/roobosmart( 5773):  head[1-0] x:798, y:285, width:103, height:103, area:2 
01-07 11:18:02.657 D/roobosmart( 5773):  head[1-0] x:796, y:282, width:107, height:107, area:2 
01-07 11:18:03.567 D/roobosmart( 5773):  head[1-0] x:796, y:283, width:107, height:107, area:2 
01-07 11:18:04.667 D/roobosmart( 5773):  head[1-0] x:798, y:287, width:100, height:100, area:2 
